nr,conf,sweat,conf_sweat,broken,grim,broken_grim,kisscl,kissm,kisscl_kissm,imp,fear,imp_fear,kiss,twoh,kiss_twoh,sungl,smile,sungl_smile,joycat,disa,joycat_disa,fluency,culturalbg,name_cult,gender,age
P107,2,2,4,2,3,4,4,4,3,2,2,2,4,4,4,4,5,2,2,4,2,3,KR,,M,50s
P108,2,2,3,3,2,3,4,4,5,2,2,2,2,4,2,3,3,2,1,3,2,4,KR,,F,20s
P109,1,2,5,2,4,2,4,3,4,3,3,3,3,4,1,2,2,4,2,1,1,4,KR,,M,50s
P110,1,1,3,3,2,3,3,2,3,2,2,4,2,1,2,2,2,1,3,3,3,3,KR,,F,50s
P111,2,2,3,4,3,4,3,4,4,4,4,4,2,2,4,3,4,4,4,2,4,3,KR,,M,30s
P112,4,3,2,4,3,3,3,3,3,4,2,4,4,3,3,3,4,4,4,2,3,3,KR,,M,40s
P113,3,2,3,1,3,5,2,3,3,1,3,4,3,3,2,3,1,2,4,3,3,2,KR,,F,40s
P114,1,1,2,1,3,4,3,3,2,1,3,5,2,5,2,4,3,3,1,3,5,4,KR,,F,60a
P115,2,1,5,1,2,5,4,4,5,4,2,4,4,5,2,4,5,2,2,2,3,4,KR,,M,60a
P116,1,1,1,1,3,4,3,3,3,1,3,5,3,4,2,3,4,4,1,3,4,4,KR,,F,60a
